GEO_ID,NAME,S2704_C03_001E,S2704_C03_006E,S2704_C03_002E,S2704_C03_010E,state,county
0500000US08119,"Teller County, Colorado",44.2,18.7,25.4,5.6,08,119
0500000US08121,"Washington County, Colorado",49.0,28.4,23.5,2.2,08,121
0500000US08123,"Weld County, Colorado",32.2,19.7,13.6,2.0,08,123
0500000US08125,"Yuma County, Colorado",33.8,19.3,17.0,1.5,08,125
0500000US09110,"Capitol Planning Region, Connecticut",36.9,22.0,18.6,1.4,09,110
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",38.1,25.6,16.2,0.9,09,120
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",35.2,15.9,21.8,1.8,09,130
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",41.1,25.6,19.6,1.6,09,140
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",40.1,22.9,20.8,2.1,09,150
0500000US09160,"Northwest Hills Planning Region, Connecticut",38.4,19.0,23.2,2.0,09,160
0500000US09170,"South Central Connecticut Planning Region, Connecticut",39.2,23.8,18.9,1.5,09,170
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",41.0,23.9,20.6,2.4,09,180
0500000US09190,"Western Connecticut Planning Region, Connecticut",30.7,16.3,16.8,0.7,09,190
0500000US10001,"Kent County, Delaware",41.7,23.5,20.2,3.3,10,001
0500000US10003,"New Castle County, Delaware",34.9,19.2,17.9,1.8,10,003
0500000US10005,"Sussex County, Delaware",50.6,22.5,31.1,2.3,10,005
0500000US11001,"District of Columbia, District of Columbia",34.2,24.8,13.1,1.2,11,001
0500000US12001,"Alachua County, Florida",27.6,13.3,15.9,2.9,12,001
0500000US12003,"Baker County, Florida",36.6,21.6,17.0,2.5,12,003
0500000US12005,"Bay County, Florida",37.0,17.8,20.2,4.6,12,005
0500000US12007,"Bradford County, Florida",47.5,28.5,21.0,3.8,12,007
0500000US12009,"Brevard County, Florida",39.7,15.5,26.0,5.4,12,009
0500000US12011,"Broward County, Florida",31.3,16.6,17.6,1.3,12,011
0500000US12013,"Calhoun County, Florida",45.2,27.0,23.5,3.2,12,013
0500000US12015,"Charlotte County, Florida",52.9,14.2,42.3,4.7,12,015
0500000US12017,"Citrus County, Florida",54.8,19.3,39.8,6.1,12,017
0500000US12019,"Clay County, Florida",33.5,14.3,18.7,5.5,12,019
0500000US12021,"Collier County, Florida",43.4,12.5,33.3,2.0,12,021
0500000US12023,"Columbia County, Florida",44.5,24.6,22.9,6.1,12,023
0500000US12027,"DeSoto County, Florida",48.9,25.2,27.1,4.0,12,027
0500000US12029,"Dixie County, Florida",54.3,29.9,31.3,6.5,12,029
0500000US12031,"Duval County, Florida",34.1,19.1,16.6,3.5,12,031
0500000US12033,"Escambia County, Florida",39.8,20.8,20.8,4.7,12,033
0500000US12035,"Flagler County, Florida",45.1,15.2,33.5,4.1,12,035
0500000US12037,"Franklin County, Florida",47.6,19.4,30.6,3.8,12,037
0500000US12039,"Gadsden County, Florida",44.9,26.0,23.9,3.0,12,039
0500000US12041,"Gilchrist County, Florida",38.5,18.1,23.7,4.3,12,041
0500000US12043,"Glades County, Florida",51.4,22.2,32.8,6.9,12,043
0500000US12045,"Gulf County, Florida",45.3,18.5,30.8,3.1,12,045
0500000US12047,"Hamilton County, Florida",55.6,34.7,26.2,3.8,12,047
0500000US12049,"Hardee County, Florida",44.3,30.1,17.5,1.3,12,049
0500000US12051,"Hendry County, Florida",43.3,31.9,14.9,1.5,12,051
0500000US12053,"Hernando County, Florida",46.6,20.0,29.4,5.1,12,053
