GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150090307052,Block Group 2; Census Tract 307.05; Maui County; Hawaii,2380,545,2380,,0,0,545,3,1629,2380,512,9,525,0,1083,42,260,0,15,009,030705,2
1500000US150090307061,Block Group 1; Census Tract 307.06; Maui County; Hawaii,2612,983,2612,,11,8,983,50,1764,2606,610,0,435,8,1156,38,405,0,15,009,030706,1
1500000US150090307081,Block Group 1; Census Tract 307.08; Maui County; Hawaii,2004,815,2004,,0,0,815,69,1627,2004,204,0,176,2,1165,125,459,0,15,009,030708,1
1500000US150090307082,Block Group 2; Census Tract 307.08; Maui County; Hawaii,691,269,691,,0,0,269,0,453,691,140,22,127,24,346,0,78,0,15,009,030708,2
1500000US150090307091,Block Group 1; Census Tract 307.09; Maui County; Hawaii,1508,627,1508,,0,0,627,73,841,1508,245,94,282,0,534,61,447,0,15,009,030709,1
1500000US150090307092,Block Group 2; Census Tract 307.09; Maui County; Hawaii,1197,527,1197,,0,0,527,0,959,1197,107,47,236,32,484,94,370,0,15,009,030709,2
1500000US150090307093,Block Group 3; Census Tract 307.09; Maui County; Hawaii,961,494,961,,0,0,494,25,776,864,67,0,84,42,458,30,255,0,15,009,030709,3
1500000US150090307101,Block Group 1; Census Tract 307.10; Maui County; Hawaii,1913,787,1913,,0,0,787,0,1680,1903,254,0,325,0,767,47,557,0,15,009,030710,1
1500000US150090307102,Block Group 2; Census Tract 307.10; Maui County; Hawaii,686,402,686,,0,0,402,0,579,686,122,15,60,11,330,44,174,0,15,009,030710,2
1500000US150090307111,Block Group 1; Census Tract 307.11; Maui County; Hawaii,819,498,819,,0,0,498,0,786,816,105,0,79,0,467,0,165,0,15,009,030711,1
1500000US150090307112,Block Group 2; Census Tract 307.11; Maui County; Hawaii,1528,409,1528,,0,0,409,55,918,1528,465,23,180,6,627,60,256,0,15,009,030711,2
1500000US150090307121,Block Group 1; Census Tract 307.12; Maui County; Hawaii,2510,860,2510,,0,26,860,13,1885,2510,620,13,370,30,1133,75,387,4,15,009,030712,1
